time/s,reltime/s,C/mA.h,C/A.h,Ewe/V,Ece/V,Ewe-Ece/V
505288.517259162,0.0,0.0,0.0,0.780696392059326,-1.02752542495727,1.8082218170166
505288.517459162,0.00020000000949949026,2.02338182263904e-08,2.02338182263904e-11,0.769148111343383,-1.0255206823349,1.79466879367828
505288.517659162,0.0004000000189989805,4.0471527311537e-08,4.0471527311537e-11,0.761945664882659,-1.02331340312957,1.78525906801223
505288.517859161,0.0005999990389682353,6.07081767585542e-08,6.070817675855419e-11,0.759463489055633,-1.02155697345733,1.78102046251297
505288.518059161,0.0007999990484677255,8.09444718890719e-08,8.094447188907189e-11,0.75797414779663,-1.02107965946197,1.7790538072586
505288.518259161,0.0009999989997595549,1.01179705725775e-07,1.01179705725775e-10,0.756809413433075,-1.0208123922348,1.77762180566787
505288.51865916,0.0013999980292282999,1.41649464766184e-07,1.41649464766184e-10,0.755262792110443,-1.02008688449859,1.77534967660903
505288.519259159,0.001999997009988874,2.02366479569011e-07,2.02366479569011e-10,0.7539644241333,-1.01918959617614,1.77315402030944
505288.519859158,0.0025999960489571095,2.63079606824451e-07,2.63079606824451e-10,0.752895176410675,-1.01875042915344,1.77164560556411
505288.520859156,0.003599994000978768,3.64267796277999e-07,3.64267796277999e-10,0.751825869083404,-1.01796770095825,1.76979357004165
505288.521659155,0.004399993049446493,4.45217569669087e-07,4.45217569669087e-10,0.750813901424408,-1.01760494709014,1.76841884851455
505288.522859153,0.005599991010967642,5.66642410225338e-07,5.66642410225338e-10,0.749572813510894,-1.01705133914947,1.76662415266037
505288.524459153,0.007199991028755903,7.28539481759071e-07,7.285394817590709e-10,0.74838900566101,-1.01647853851318,1.76486754417419
505288.525859154,0.00859999202657491,8.70209806495242e-07,8.70209806495242e-10,0.747357904911041,-1.01634490489959,1.76370280981063
505288.527259155,0.009999993024393916,1.0118826015128e-06,1.0118826015128e-09,0.746326863765716,-1.01603949069976,1.76236635446548
505288.528859154,0.01159999199444428,1.17378886871867e-06,1.17378886871867e-09,0.745238482952117,-1.01571488380432,1.76095336675643
505288.530659154,0.013399992021732032,1.35593460996945e-06,1.35593460996945e-09,0.744131028652191,-1.01554310321807,1.75967413187027
505288.532259154,0.014999992039520293,1.5178285025888e-06,1.5178285025888001e-09,0.743119060993194,-1.01535212993621,1.75847119092941
505288.534059153,0.01679999101907015,1.69996964600351e-06,1.69996964600351e-09,0.742107093334198,-1.01502764225006,1.75713473558425
505288.535859153,0.0185999910463579,1.88210548957188e-06,1.88210548957188e-09,0.741075992584228,-1.01485574245452,1.75593173503875
505288.537859154,0.020599992014467716,2.08448045121298e-06,2.08448045121298e-09,0.740006744861602,-1.01449298858642,1.75449973344802
505288.540059153,0.02279999101301655,2.30708746612072e-06,2.30708746612072e-09,0.738746523857116,-1.01451218128204,1.75325870513916
505288.54205915,0.024799988023005426,2.50946349071131e-06,2.50946349071131e-09,0.737677276134491,-1.01434028148651,1.752017557621
505288.543859147,0.02659998502349481,2.69160640405284e-06,2.69160640405284e-09,0.736646234989166,-1.01418757438659,1.75083380937576
505288.545859144,0.028599982033483684,2.89398985273308e-06,2.8939898527330802e-09,0.735576927661895,-1.01407301425933,1.74964994192123
505288.547859141,0.030599979043472558,3.09637259609169e-06,3.09637259609169e-09,0.734469532966613,-1.01413023471832,1.74859976768493
505288.549859138,0.03259997599525377,3.29875816404819e-06,3.29875816404819e-09,0.733362078666687,-1.01392030715942,1.74728238582611
505288.552059134,0.0347999720252119,3.52137083974149e-06,3.52137083974149e-09,0.732311904430389,-1.01390123367309,1.74621313810348
505288.55425913,0.03699996799696237,3.7439842224121e-06,3.7439842224121e-09,0.731280803680419,-1.0137676000595,1.74504840373992
505288.556459131,0.039199969032779336,3.96660255226824e-06,3.96660255226824e-09,0.730249762535095,-1.01371026039123,1.74396002292633
505288.558659132,0.04139997001038864,4.18922547830475e-06,4.189225478304749e-09,0.729237794876098,-1.01365303993225,1.74289083480835
505288.560659131,0.04339996899943799,4.39160079591804e-06,4.39160079591804e-09,0.728225767612457,-1.01359570026397,1.74182146787643
505288.562659131,0.04539996903622523,4.59397115972307e-06,4.59397115972307e-09,0.72721379995346,-1.01344299316406,1.74065679311752
505288.564859131,0.0475999690243043,4.81659549805853e-06,4.8165954980585305e-09,0.726068198680877,-1.01346206665039,1.73953026533126
505288.56705913,0.049799968022853136,5.03921771215068e-06,5.0392177121506806e-09,0.725037097930908,-1.01348114013671,1.73851823806762
505288.569059132,0.05179997003870085,5.24160115917523e-06,5.241601159175231e-09,0.724025130271911,-1.01338577270507,1.73741090297699
505288.571259131,0.053999969037249684,5.46422195931275e-06,5.46422195931275e-09,0.722917675971984,-1.01342391967773,1.73634159564971
505288.573659127,0.05639996501849964,5.70707553128401e-06,5.707075531284011e-09,0.72179114818573,-1.01323294639587,1.7350240945816
505288.576259123,0.05899996100924909,5.97016433046923e-06,5.97016433046923e-09,0.720702767372131,-1.01311838626861,1.73382115364074
505288.578659119,0.06139995704870671,6.2130253199074e-06,6.2130253199074e-09,0.719595313072204,-1.0130420923233,1.7326374053955
505288.580859115,0.06359995302045718,6.4356369326512e-06,6.4356369326512e-09,0.718564271926879,-1.01308023929595,1.73164451122283
505288.583259111,0.06599994900170714,6.67849615878529e-06,6.67849615878529e-09,0.717514097690582,-1.01300382614135,1.73051792383194
505288.585659107,0.06839994504116476,6.92134865787294e-06,6.92134865787294e-09,0.716406643390655,-1.01306116580963,1.72946780920028
505288.587659108,0.07039994600927457,7.12372892763879e-06,7.12372892763879e-09,0.715394675731658,-1.01308023929595,1.72847491502761
505288.590059109,0.07279994699638337,7.36657576925224e-06,7.36657576925224e-09,0.714249014854431,-1.01306116580963,1.72731018066406
505288.592859108,0.07559994602343068,7.6499012162288e-06,7.6499012162288e-09,0.713122487068176,-1.01298475265502,1.7261072397232
505288.595659108,0.07839994604000822,7.93324115872383e-06,7.93324115872383e-09,0.712072312831878,-1.01285111904144,1.72492343187332
505288.598059107,0.08079994504805654,8.17608800530433e-06,8.17608800530433e-09,0.710907578468322,-1.01279389858245,1.72370147705078
505288.600859109,0.08359994704369456,8.45940320193767e-06,8.45940320193767e-09,0.709895610809326,-1.01269841194152,1.72259402275085
505288.603059107,0.0857999449945055,8.68202011618349e-06,8.68202011618349e-09,0.708807289600372,-1.01275563240051,1.72156292200088
505288.605259103,0.08799994102446362,8.90464763177765e-06,8.90464763177765e-09,0.707757115364074,-1.01285111904144,1.72060823440551
505288.607859099,0.09059993701521307,9.16773465938038e-06,9.16773465938038e-09,0.706592381000518,-1.01279389858245,1.71938627958297
505288.610659094,0.09339993202593178,9.45106257829401e-06,9.451062578294011e-09,0.705523133277893,-1.01277482509613,1.71829795837402
505288.61285909,0.09559992799768224,9.67368232044908e-06,9.67368232044908e-09,0.704511106014251,-1.01256477832794,1.71707588434219
505288.615659086,0.09839992399793118,9.95701307058334e-06,9.95701307058334e-09,0.703480064868927,-1.01258385181427,1.71606391668319
505288.618459084,0.10119992203544825,1.02403519501288e-05,1.02403519501288e-08,0.702448964118957,-1.01245021820068,1.71489918231964
505288.621059086,0.10379992402158678,1.05034375637769e-05,1.05034375637769e-08,0.701341569423675,-1.01246929168701,1.71381086111068
505288.623859085,0.10659992304863408,1.07867626498142e-05,1.07867626498142e-08,0.700234115123748,-1.01250743865966,1.71274155378341
505288.626459085,0.10919992299750447,1.10498433129655e-05,1.1049843312965501e-08,0.699164807796478,-1.01250743865966,1.71167224645614
505288.628859084,0.1115999220055528,1.12926979379521e-05,1.1292697937952099e-08,0.698152840137481,-1.01262199878692,1.7107748389244
505288.631859086,0.1145999240106903,1.15962596784035e-05,1.1596259678403499e-08,0.696988105773925,-1.01252663135528,1.70951473712921
505288.635059082,0.11779992002993822,1.19200700869162e-05,1.1920070086916199e-08,0.695880651473999,-1.01243114471435,1.70831179618835
505288.638059077,0.12079991505015641,1.22236452665593e-05,1.22236452665593e-08,0.694792330265045,-1.01245021820068,1.70724254846572
505288.640859073,0.12359991105040535,1.25069707085688e-05,1.25069707085688e-08,0.693780362606048,-1.01220202445983,1.70598238706588
505288.643459068,0.1261999059934169,1.27700612793366e-05,1.27700612793366e-08,0.692749261856079,-1.01237380504608,1.70512306690216
505288.646259063,0.1289999010041356,1.30533867279688e-05,1.30533867279688e-08,0.691603660583496,-1.01227843761444,1.70388209819793
505288.649259061,0.13199989905115217,1.33569565945201e-05,1.33569565945201e-08,0.690477073192596,-1.01237380504608,1.70285087823867
505288.652459062,0.13519990001805127,1.36807694733142e-05,1.36807694733142e-08,0.689465105533599,-1.01229751110076,1.70176261663436
505288.655259062,0.1379999000346288,1.39641002234485e-05,1.39641002234485e-08,0.688434064388275,-1.01224017143249,1.70067423582077
505288.658459061,0.14119989902246743,1.42879081467787e-05,1.42879081467787e-08,0.687422096729278,-1.01208746433258,1.69950956106185
505288.661259061,0.14399989903904498,1.45712286416027e-05,1.45712286416027e-08,0.686333715915679,-1.01208746433258,1.69842118024826
505288.664459062,0.14719990000594407,1.48950355152289e-05,1.48950355152289e-08,0.68530261516571,-1.01214480400085,1.69744741916656
505288.667259058,0.149999896006193,1.51783613165219e-05,1.51783613165219e-08,0.684271574020385,-1.01216387748718,1.69643545150756
505288.670259052,0.15299989003688097,1.54819329546557e-05,1.54819329546557e-08,0.683240473270416,-1.01222109794616,1.69546157121658
505288.673859046,0.15659988403785974,1.58462170130676e-05,1.5846217013067602e-08,0.682152152061462,-1.01208746433258,1.69423961639404
505288.677259041,0.15999987901886925,1.61902676042583e-05,1.61902676042583e-08,0.681101977825164,-1.01204931735992,1.69315129518508
505288.680259037,0.16299987502861768,1.64938392457034e-05,1.64938392457034e-08,0.680051803588867,-1.01176297664642,1.69181478023529
505288.683659039,0.1663998769945465,1.68378824144601e-05,1.68378824144601e-08,0.67903983592987,-1.01189661026001,1.69093644618988
505288.686859038,0.1695998760405928,1.71616949488719e-05,1.71616949488719e-08,0.677913308143615,-1.01191568374633,1.68982899188995
505288.690059037,0.17279987502843142,1.74855124238464e-05,1.74855124238464e-08,0.676863133907318,-1.01201117038726,1.68887430429458
505288.693859038,0.17659987602382898,1.78700433837043e-05,1.7870043383704298e-08,0.675851166248321,-1.01206839084625,1.68791955709457
505288.697659036,0.18039987405063584,1.82545619656642e-05,1.82545619656642e-08,0.674820065498352,-1.01185834407806,1.68667840957641
505288.70125903,0.18399986799340695,1.86188396579689e-05,1.86188396579689e-08,0.673769891262054,-1.01185834407806,1.68562823534011
505288.704459024,0.1871998620335944,1.89426497088538e-05,1.89426497088538e-08,0.672738850116729,-1.0117437839508,1.68448263406753
505288.708059018,0.19079985603457317,1.93069341199265e-05,1.93069341199265e-08,0.67170774936676,-1.01189661026001,1.68360435962677
505288.711459014,0.19419985200511292,1.9650972334875e-05,1.9650972334875e-08,0.670676708221435,-1.01180112361908,1.68247783184051
505288.716059015,0.19879985303850845,2.01164466987053e-05,2.0116446698705298e-08,0.669645607471466,-1.01180112361908,1.68144673109054
505288.719859015,0.20259985304437578,2.05009511444303e-05,2.05009511444303e-08,0.668633639812469,-1.01162922382354,1.68026286363601
505288.723859014,0.2065998520120047,2.09057215833001e-05,2.09057215833001e-08,0.667507112026214,-1.01157200336456,1.67907911539077
505288.727659015,0.21039985300740227,2.12902461787065e-05,2.12902461787065e-08,0.666495144367218,-1.01183927059173,1.67833441495895
