time/s,reltime/s,C/mA.h,C/A.h,Ewe/V,Ece/V,Ewe-Ece/V
517174.424803541,0.0,0.0,0.0,0.435850769281387,-1.00523328781127,1.44108405709266
517174.42500354,0.00019999901996925473,4.04075066248575e-07,4.04075066248575e-10,0.262625962495803,-0.988714694976806,1.25134065747261
517174.42520354,0.000399999029468745,8.08651659223768e-07,8.08651659223768e-10,0.198273792862892,-0.983888983726501,1.18216277658939
517174.42540354,0.0005999990389682353,1.21336952845255e-06,1.21336952845255e-09,0.170492127537727,-0.981426179409027,1.15191830694675
517174.425603539,0.0007999980007298291,1.61812978320651e-06,1.61812978320651e-09,0.155732527375221,-0.980738878250122,1.13647140562534
517174.425803539,0.0009999980102293193,2.02292887369791e-06,2.02292887369791e-09,0.146853849291801,-0.980051577091217,1.12690542638301
517174.426003539,0.0011999980197288096,2.42772446738349e-06,2.42772446738349e-09,0.140953823924064,-0.979459702968597,1.12041352689266
517174.426203538,0.0013999970396980643,2.83254125383165e-06,2.83254125383165e-09,0.136657685041427,-0.97888696193695,1.11554464697837
517174.426403538,0.0015999969909898937,3.23736153708563e-06,3.23736153708563e-09,0.133411720395088,-0.978524208068847,1.11193592846393
517174.426603538,0.001799997000489384,3.6421959400177e-06,3.6421959400177002e-09,0.130776762962341,-0.978066027164459,1.1088427901268
517174.426803537,0.0019999960204586387,4.04705860879686e-06,4.04705860879686e-09,0.128733709454536,-0.977817833423614,1.10655154287815
517174.427003537,0.002199996029958129,4.45192837715148e-06,4.451928377151479e-09,0.127129822969436,-0.977359652519226,1.10448947548866
517174.427203537,0.002399996039457619,4.85676985316806e-06,4.85676985316806e-09,0.125583216547966,-0.977149605751037,1.102732822299
517174.427403536,0.002599995001219213,5.26166783438788e-06,5.26166783438788e-09,0.124323010444641,-0.976748704910278,1.10107171535491
517174.427603536,0.0027999950107187033,5.66655169592963e-06,5.66655169592963e-09,0.123215563595295,-0.976366877555847,1.09958244115114
517174.428003535,0.0031999940401874483,6.47628762986924e-06,6.47628762986924e-09,0.121267981827259,-0.975717723369598,1.09698570519685
517174.428403534,0.0035999930114485323,7.28599177466498e-06,7.28599177466498e-09,0.119702279567718,-0.975240468978881,1.0949427485466
517174.428803534,0.003999993030447513,8.09578069051106e-06,8.09578069051106e-09,0.118442080914974,-0.97485864162445,1.09330072253942
517174.429203533,0.004399992001708597,8.90554494327969e-06,8.90554494327969e-09,0.11714369058609,-0.974495887756347,1.09163957834243
517174.429803533,0.004999992030207068,1.01201611889733e-05,1.01201611889733e-08,0.115826211869716,-0.973770380020141,1.08959659188985
517174.430403533,0.005599992000497878,1.13347880575392e-05,1.13347880575392e-08,0.114604197442531,-0.973235845565795,1.08784004300832
517174.431003533,0.006199992028996348,1.25493407779269e-05,1.25493407779269e-08,0.113458566367626,-0.972720324993133,1.08617889136076
517174.431803534,0.006999992998316884,1.41688161955939e-05,1.41688161955939e-08,0.112255647778511,-0.971937596797943,1.08419324457645
517174.432603534,0.007799993036314845,1.57883375485738e-05,1.57883375485738e-08,0.111224576830864,-0.971269369125366,1.08249394595623
517174.433403535,0.00859999400563538,1.74078871144188e-05,1.7407887114418802e-08,0.110212594270706,-0.970562994480133,1.08077558875083
517174.434403534,0.009599993005394936,1.94322040081024e-05,1.94322040081024e-08,0.109200619161129,-0.969952046871185,1.07915266603231
517174.435603534,0.010799993004184216,2.18615001572503e-05,2.1861500157250297e-08,0.108169548213481,-0.969131112098693,1.07730066031217
517174.437403534,0.012599993031471968,2.55053525500827e-05,2.5505352550082703e-08,0.107043005526065,-0.968023777008056,1.07506678253412
517174.439403534,0.014599993010051548,2.95541241433885e-05,2.95541241433885e-08,0.106011934578418,-0.966878294944763,1.07289022952318
517174.441803533,0.016999992018099874,3.44126245445675e-05,3.44126245445675e-08,0.104980863630771,-0.96558004617691,1.07056090980768
517174.444203535,0.019399993994738907,3.92712061670091e-05,3.92712061670091e-08,0.103930696845054,-0.964510917663574,1.06844161450862
517174.447603532,0.02279999101301655,4.61541258494059e-05,4.61541258494059e-08,0.102899618446826,-0.963327229022979,1.0662268474698
517174.450803526,0.02599998499499634,5.26321935653686e-05,5.26321935653686e-08,0.101868547499179,-0.96273535490036,1.06460390239954
517174.45480352,0.029999979014974087,6.07296554247538e-05,6.07296554247538e-08,0.100856572389602,-0.962009906768798,1.0628664791584
517174.459403513,0.03459997201571241,7.00419278144836e-05,7.00419278144836e-08,0.0998445898294448,-0.96136075258255,1.06120534241199
517174.459603512,0.034799971035681665,7.04467904832628e-05,7.04467904832628e-08,0.0998064056038856,-0.961341679096221,1.0611480847001
517174.459803512,0.034999971045181155,7.08516496552361e-05,7.08516496552361e-08,0.0997300297021865,-0.961227118968963,1.06095714867115
