time/s,reltime/s,C/mA.h,C/A.h,Ewe/V,Ece/V,Ewe-Ece/V
488227.994770245,0.0,0.0,0.0,0.79344767332077,-1.02455842494964,1.81800609827041
488227.994970245,0.00020000000949949026,8.0866664648056e-09,8.0866664648056e-12,0.788635849952697,-1.02343583106994,1.81207168102264
488227.995170245,0.0004000000189989805,1.61740399069256e-08,1.6174039906925602e-11,0.784381031990051,-1.02151882648468,1.80589985847473
488227.995570246,0.0008000010275281966,3.23583326405949e-08,3.23583326405949e-11,0.782796263694763,-1.02001059055328,1.80280685424804
488227.996170246,0.0014000009978190064,5.66215134329266e-08,5.6621513432926605e-11,0.781784236431121,-1.01932322978973,1.80110746622085
488227.997570245,0.002800000016577542,1.1324620909161e-07,1.1324620909160999e-10,0.780714988708496,-1.01863598823547,1.79935097694397
488227.999570245,0.004799999995157123,1.94157065616713e-07,1.94157065616713e-10,0.779664814472198,-1.01815867424011,1.79782348871231
488228.002570244,0.007799999031703919,3.15513625741004e-07,3.1551362574100395e-10,0.778652846813201,-1.0174331665039,1.7960860133171
488228.005970245,0.011200000008102506,4.5304599404335e-07,4.5304599404335e-10,0.777564525604248,-1.01703226566314,1.79459679126739
488228.010770241,0.015999995986931026,6.47218261328008e-07,6.472182613280079e-10,0.776476144790649,-1.01657402515411,1.79305016994476
488228.015370233,0.020599987998139113,8.33307041062249e-07,8.33307041062249e-10,0.775368690490722,-1.01619219779968,1.7915608882904
488228.020570226,0.025799981027375907,1.04366324676407e-06,1.04366324676407e-09,0.774146676063537,-1.01600122451782,1.79014790058136
488228.025370222,0.030599977006204426,1.23783515807655e-06,1.23783515807655e-09,0.773020148277282,-1.01594400405883,1.78896415233612
488228.030770222,0.03599997702986002,1.45627095964219e-06,1.4562709596421901e-09,0.771989107131958,-1.01579129695892,1.78778040409088
488228.036170222,0.04139997699530795,1.6747180753284e-06,1.6747180753284e-09,0.770977079868316,-1.0155621767044,1.78653925657272
488228.040570221,0.04579997604014352,1.85270852512783e-06,1.8527085251278299e-09,0.76996511220932,-1.01554310321807,1.78550821542739
488228.044770214,0.04999996902188286,2.02258720662858e-06,2.02258720662858e-09,0.768953144550323,-1.01575303077697,1.7847061753273
488228.050570204,0.0557999589946121,2.25720482567946e-06,2.25720482567946e-09,0.767883896827697,-1.01542854309082,1.78331243991851
488228.056370199,0.06159995403140783,2.49184259606732e-06,2.49184259606732e-09,0.766814649105072,-1.01529490947723,1.7821095585823
488228.061570199,0.06679995398735628,2.70219243814547e-06,2.70219243814547e-09,0.765764474868774,-1.01525676250457,1.78102123737335
488228.066770198,0.07199995301198214,2.91254439867205e-06,2.9125443986720497e-09,0.764676094055175,-1.01523756980896,1.77991366386413
488228.072970196,0.07819995103636757,3.16335373371839e-06,3.16335373371839e-09,0.763645052909851,-1.01510393619537,1.77874898910522
488228.078170187,0.08339994202833623,3.37372231566243e-06,3.3737223156624297e-09,0.762594878673553,-1.01508486270904,1.77767974138259
488228.083170179,0.08839993400033563,3.57600281139214e-06,3.57600281139214e-09,0.761563777923584,-1.01504671573638,1.77661049365997
488228.088370176,0.09359993098769337,3.78637032955884e-06,3.78637032955884e-09,0.760532736778259,-1.0151230096817,1.77565574645996
488228.094770176,0.09999993100063875,4.04526279618342e-06,4.04526279618342e-09,0.759482562541961,-1.0148366689682,1.77431923151016
488228.100170176,0.10539993102429435,4.26372546619839e-06,4.2637254661983896e-09,0.758451461791992,-1.01479852199554,1.77324998378753
488228.104770172,0.10999992699362338,4.44980010638634e-06,4.44980010638634e-09,0.757439494132995,-1.0149130821228,1.77235257625579
488228.11157016,0.11679991503478959,4.72488004465897e-06,4.72488004465897e-09,0.756427526473999,-1.01479852199554,1.77122604846954
488228.116970151,0.12219990603625774,4.94331584539678e-06,4.94331584539678e-09,0.755415558815002,-1.01472210884094,1.77013766765594
488228.122170153,0.12739990802947432,5.15368336521917e-06,5.15368336521917e-09,0.754365384578704,-1.01464581489563,1.76901119947433
488228.127970152,0.133199907024391,5.38830133693085e-06,5.38830133693085e-09,0.753257930278778,-1.01477944850921,1.76803737878799
488228.134770151,0.13999990600859746,5.66339152968592e-06,5.66339152968592e-09,0.75220775604248,-1.0145503282547,1.76675808429718
488228.140770141,0.1459998959908262,5.90610960291491e-06,5.90610960291491e-09,0.751138508319854,-1.01464581489563,1.76578432321548
488228.145370133,0.15059988800203428,6.09219909128215e-06,6.09219909128215e-09,0.750126540660858,-1.01472210884094,1.7648486495018
488228.15277013,0.15799988503567874,6.39154291980796e-06,6.39154291980796e-09,0.748942732810974,-1.01443576812744,1.76337850093841
488228.159370129,0.16459988401038572,6.65853477931685e-06,6.65853477931685e-09,0.747930705547332,-1.01451218128204,1.76244288682937
488228.16437013,0.16959988500457257,6.86080396340953e-06,6.86080396340953e-09,0.746861457824707,-1.01456940174102,1.76143085956573
488228.171170119,0.17639987403526902,7.13587754054202e-06,7.135877540542019e-09,0.745830416679382,-1.01445484161377,1.76028525829315
488228.177970107,0.18319986201822758,7.41096243013938e-06,7.41096243013938e-09,0.744780242443084,-1.01424479484558,1.75902503728866
488228.183170107,0.18839986203238368,7.62133313053184e-06,7.62133313053184e-09,0.743730068206787,-1.01439762115478,1.75812768936157
488228.188570106,0.19379986100830138,7.83977635867065e-06,7.83977635867065e-09,0.742679893970489,-1.01451218128204,1.75719207525253
488228.195770107,0.2009998619905673,8.13102751059664e-06,8.131027510596641e-09,0.741667926311492,-1.01434028148651,1.756008207798
488228.201570097,0.2067998520215042,8.36566845907105e-06,8.36566845907105e-09,0.740636825561523,-1.01416850090026,1.75480532646179
488228.207370087,0.21259984199423343,8.6002973905868e-06,8.6002973905868e-09,0.739605784416198,-1.01445484161377,1.75406062602996
488228.214370084,0.21959983900887892,8.88345233102639e-06,8.883452331026391e-09,0.738593816757202,-1.01432120800018,1.75291502475738
488228.220370083,0.22559983801329508,9.12618843466043e-06,9.12618843466043e-09,0.737524509429931,-1.01432120800018,1.75184571743011
488228.226370084,0.23159983899677172,9.36890615605645e-06,9.36890615605645e-09,0.736474394798278,-1.01434028148651,1.75081467628479
488228.233170073,0.23839982802746817,9.64397619581884e-06,9.643976195818841e-09,0.735424220561981,-1.01416850090026,1.74959272146225
488228.240170061,0.24539981601992622,9.92714527414904e-06,9.927145274149041e-09,0.734354972839355,-1.01411116123199,1.74846613407135
488228.24597006,0.2511998150148429,1.0161752284401e-05,1.0161752284401e-08,0.733304798603057,-1.01434028148651,1.74764508008956
488228.253170058,0.2583998130285181,1.04530161627464e-05,1.04530161627464e-08,0.732235491275787,-1.01413023471832,1.74636572599411
488228.260570056,0.26579981099348515,1.07523741316464e-05,1.0752374131646401e-08,0.731204450130462,-1.01403486728668,1.74523931741714
488228.265770047,0.2709998019854538,1.09627335179183e-05,1.09627335179183e-08,0.730192482471466,-1.01411116123199,1.74430364370346
488228.273770035,0.2789997900254093,1.12863666878806e-05,1.1286366687880598e-08,0.729161381721496,-1.01413023471832,1.74329161643981
488228.279970036,0.28519979101838544,1.15371703662806e-05,1.15371703662806e-08,0.728111207485199,-1.01405394077301,1.7421651482582
488228.285570035,0.2907997900038026,1.176369742718e-05,1.176369742718e-08,0.727099239826202,-1.01405394077301,1.74115318059921
488228.293970029,0.2991997839999385,1.21035163063142e-05,1.21035163063142e-08,0.725991785526275,-1.01390123367309,1.73989301919937
488228.300770018,0.30599977303063497,1.23785916508899e-05,1.23785916508899e-08,0.724903464317321,-1.01405394077301,1.73895740509033
488228.307370013,0.31259976798901334,1.26455562868052e-05,1.2645556286805199e-08,0.723853290081024,-1.01399660110473,1.73784989118576
488228.314770013,0.3199997679912485,1.29448997593588e-05,1.29448997593588e-08,0.722822189331054,-1.01388204097747,1.73670423030853
488228.321770012,0.3269997669849545,1.32280617679158e-05,1.32280617679158e-08,0.721810221672058,-1.01390123367309,1.73571145534515
488228.327970001,0.33319975598715246,1.34788700441519e-05,1.34788700441519e-08,0.720721900463104,-1.01388204097747,1.73460394144058
488228.337369989,0.3425997440353967,1.38591247275471e-05,1.38591247275471e-08,0.719576239585876,-1.01382482051849,1.73340106010437
488228.34376999,0.34899974503787234,1.41180309810572e-05,1.41180309810572e-08,0.718564271926879,-1.0139775276184,1.73254179954528
488228.350969991,0.35619974602013826,1.4409314305418e-05,1.4409314305418e-08,0.717552304267883,-1.01388204097747,1.73143434524536
488228.359169978,0.36439973302185535,1.47409994958175e-05,1.4740999495817501e-08,0.716521203517913,-1.01374840736389,1.7302696108818
488228.365169968,0.3703997230040841,1.4983716154264e-05,1.4983716154264002e-08,0.715509235858917,-1.01388204097747,1.72939127683639
