reltime/s,C/mA.h,C/A.h,Ewe/V,soc,soc_cell
0.0,0.075181715315,7.518171531499999e-05,0.80106633901596,1.0,1.0
0.0001999999512918,8.09279891351858e-10,8.09279891351858e-13,0.800745546817779,0.999999989235682,0.999999987959022
0.000399998971261,1.6183123095995802e-09,1.61831230959958e-12,0.798109591007232,0.9999999784746557,0.9999999759217261
0.00319999497151,1.29464983733163e-08,1.2946498373316298e-11,0.797097563743591,0.9999998277972467,0.9999998073738098
0.021999992954079,8.90087672612733e-08,8.90087672612733e-11,0.796085596084594,0.9999988160849099,0.9999986756712715
0.0625999539624899,2.53267659495274e-07,2.53267659495274e-10,0.795073628425598,0.9999966312598957,0.9999962317235954
0.1043999239918775,4.22383539223422e-07,4.22383539223422e-10,0.794042587280273,0.9999943818315736,0.9999937155105878
0.1617998769506812,6.54616285012e-07,6.54616285012e-10,0.793030560016632,0.999991292879096,0.9999902602049318
0.2081998559879139,8.42344612297084e-07,8.42344612297084e-10,0.791961312294006,0.9999887958846274,0.9999874670641589
0.2641998079488985,1.06891186902713e-06,1.0689118690271302e-09,0.790930271148681,0.999985782289423,0.9999840960532319
0.323199760983698,1.30761178365598e-06,1.3076117836559802e-09,0.789880096912384,0.9999826073164442,0.9999805445249481
0.368199732969515,1.48967218217957e-06,1.4896721821795701e-09,0.788829922676086,0.9999801857116994,0.9999778357152037
0.4401996699743904,1.78097171869335e-06,1.7809717186933496e-09,0.787817955017089,0.9999763111055496,0.9999735015764815
0.4883996459539048,1.97597907509447e-06,1.97597907509447e-09,0.786767780780792,0.9999737172919397,0.9999706001337101
0.5485995979979634,2.21953661289686e-06,2.21953661289686e-09,0.785736680030822,0.9999704777071978,0.9999669763306367
0.6063995519652963,2.45339064056881e-06,2.4533906405688102e-09,0.784686565399169,0.9999673671898773,0.9999634969025235
0.6641995059908368,2.68723904745032e-06,2.6872390474503204e-09,0.7836554646492,0.9999642567473196,0.9999600175580401
0.7261994589935057,2.93807466038399e-06,2.93807466038399e-09,0.782586216926574,0.9999609203561255,0.9999562854671622
0.7849994129501283,3.17596904193568e-06,3.1759690419356804e-09,0.781574249267578,0.9999577560976278,0.9999527459241088
0.8449993699905463,3.41871355323948e-06,3.4187135532394804e-09,0.780543148517608,0.999954527327038,0.9999491342177579
0.9087993209832348,3.6768332154283e-06,3.6768332154283e-09,0.779512107372283,0.9999510940499292,0.9999452937501887
0.966999281954486,3.91230028800459e-06,3.91230028800459e-09,0.778481006622314,0.9999479620773267,0.9999417903221735
1.030999232956674,4.17122855818726e-06,4.171228558187261e-09,0.77739268541336,0.999944518044837,0.9999379378236233
1.102999179973267,4.46252102353092e-06,4.4625210235309205e-09,0.776285231113433,0.9999406435327415,0.9999336037901102
1.1669991329545155,4.72144162287521e-06,4.721441622875211e-09,0.775254130363464,0.9999371996022823,0.9999297514056916
1.2267990869586356,4.96337395502875e-06,4.9633739550287515e-09,0.774242162704467,0.9999339816345739,0.9999261517834557
1.2869990389444863,5.20692767497773e-06,5.2069276749777294e-09,0.773230195045471,0.9999307421006137,0.9999225280371867
1.3613989930017851,5.5079265499177e-06,5.5079265499177e-09,0.772180020809173,0.9999267384825308,0.9999180495855735
1.422998945985455,5.75714370913596e-06,5.75714370913596e-09,0.771168053150177,0.9999234236185619,0.9999143415750735
1.4855988989584148,6.01040634838864e-06,6.010406348388641e-09,0.770136952400207,0.9999200549452323,0.9999105733733632
1.5605988399474882,6.31384232505742e-06,6.3138423250574205e-09,0.769067704677581,0.9999160189109998,0.9999060586610091
1.6235987929976543,6.56872030725288e-06,6.56872030725288e-09,0.768017530441284,0.9999126287518217,0.9999022664252051
