reltime/s,C/mA.h,C/A.h,Ewe/V,soc,soc_cell
0.0,8.10541988660891e-10,8.10541988660891e-13,0.103916771709919,1.0781105289562003e-08,0.0
0.0001999999512918,1.6210839773217801e-09,1.62108397732178e-12,0.101333916187286,2.156221057912398e-08,1.078110540579421e-08
0.0115999999688938,4.78403618455761e-08,4.7840361845576096e-11,0.102364994585514,6.363297464700324e-07,6.255486479245763e-07
0.0475999769987538,1.93800214315868e-07,1.9380021431586802e-10,0.103376969695091,2.5777572845189082e-06,2.5669762069041874e-06
0.0875999389681965,3.55973593787186e-07,3.5597359378718603e-10,0.104427136480808,4.734842671462211e-06,4.724061617103255e-06
0.1271999069722369,5.16532076264007e-07,5.165320762640071e-10,0.105439111590385,6.87044814154367e-06,6.859667110208902e-06
0.1715998849831521,6.96544557344168e-07,6.96544557344168e-10,0.106451094150543,9.264813318314857e-06,9.254032312793991e-06
0.2223998379777185,9.02508558343268e-07,9.02508558343268e-10,0.107539445161819,1.200436242458547e-05,1.1993581448599973e-05
0.2659998139715753,1.07928070870952e-06,1.0792807087095202e-09,0.108551427721977,1.4355627617533032e-05,1.4344846666896772e-05
0.3109997679712251,1.26172509804988e-06,1.2617250980498802e-09,0.109582498669624,1.678233986499833e-05,1.6771558940524713e-05
0.3639997369609773,1.47660191470964e-06,1.4766019147096402e-09,0.11065175384283,1.9640439281318625e-05,1.9629658387658477e-05
0.4103996979538351,1.66472815825707e-06,1.6647281582570702e-09,0.111663736402988,2.2142726476539027e-05,2.2131945609856302e-05
0.4647996560088359,1.88528279898067e-06,1.8852827989806703e-09,0.112675711512565,2.507634723525023e-05,2.506556640019518e-05
0.5065996279590763,2.05475780900774e-06,2.05475780900774e-09,0.113725878298282,2.7330552387619997e-05,2.7319771576867773e-05
0.5659995820024051,2.29559282787765e-06,2.2955928278776493e-09,0.114795140922069,3.0533924615306574e-05,3.052314383909024e-05
0.6221995369996876,2.5234432661285e-06,2.5234432661285e-09,0.115807116031646,3.35645875537111e-05,3.3553806810168664e-05
0.667199510964565,2.70589136735846e-06,2.70589136735846e-09,0.116819098591804,3.599134917341517e-05,3.598056845603591e-05
0.724399464961607,2.93780282289824e-06,2.9378028228982404e-09,0.117831073701381,3.907602813515615e-05,3.9065247451033134e-05
0.770799433987122,3.12592896068882e-06,3.1259289606888203e-09,0.118900336325168,4.157831392369343e-05,4.1567533266547826e-05
0.8305993920075707,3.36838520530404e-06,3.3683852053040404e-09,0.119950503110885,4.4803250247630246e-05,4.479246962525302e-05
