time/s,reltime/s,C/mA.h,C/A.h,Ewe/V,Ece/V,Ewe-Ece/V,,soc_init (lookup in 0.2C),,Q/Q_max,soc_cell
435832.44880802,0,4.05106983251041E-09,4.05106983251041E-12,0.109289944171905,-1.00202584266662,1.11131578683853,,1.44E-05,,5.55702308986339E-08,1.44111978484316E-05
435832.450608017,0.00179999700048938,4.05104495584964E-08,4.05104495584964E-11,0.110346250236034,-1.00437438488006,1.1147206351161,,,,5.55698896550019E-07,1.4911326514083E-05
435832.455008011,0.00619999103946611,1.29634901881217E-07,1.29634901881217E-10,0.111377328634262,-1.00849819183349,1.11987552046775,,,,1.77825654158048E-06,1.61338841591135E-05
435832.460408002,0.0115999820409343,2.39016965445545E-07,2.39016965445545E-10,0.112465679645538,-1.01092290878295,1.12338858842849,,,,3.27869637099513E-06,1.76343239885281E-05
435832.467608003,0.0187999830232002,3.84854200399584E-07,3.84854200399584E-10,0.113496750593185,-1.01285111904144,1.12634786963462,,,,5.27920713854025E-06,1.96348347560732E-05
435832.476808004,0.0279999840422533,5.71207082519928E-07,5.71207082519928E-10,0.114527821540832,-1.01445484161377,1.1289826631546,,,,7.83548810041054E-06,2.21911157179435E-05
435832.483607992,0.0347999720252119,7.08943911310699E-07,7.08943911310699E-10,0.115558892488479,-1.01504671573638,1.13060560822486,,,,9.72488218533195E-06,2.4080509802865E-05
435832.492607978,0.0437999580171891,8.91242718531025E-07,8.91242718531025E-10,0.116570875048637,-1.01602041721344,1.13259129226207,,,,1.22255516945271E-05,2.65811793120601E-05
435832.500207979,0.051399959018454,1.04518538133965E-06,1.04518538133965E-09,0.117582850158214,-1.01644039154052,1.13402324169874,,,,1.43372480293505E-05,2.86928756468835E-05
435832.508807979,0.0599999590194784,1.21938318138321E-06,1.21938318138321E-09,0.118652112782001,-1.01689863204956,1.13555074483156,,,,1.67267926115667E-05,3.10824202290997E-05
435832.518207963,0.0693999429931864,1.40978755677739E-06,1.40978755677739E-09,0.119664087891578,-1.01729953289032,1.13696362078189,,,,1.93386496128586E-05,3.36942772303916E-05
435832.525807956,0.0769999360200018,1.56373294111755E-06,1.56373294111755E-09,0.120676070451736,-1.01752865314483,1.13820472359657,,,,2.14503832800761E-05,3.58060108976091E-05
435832.535607955,0.0867999350302853,1.76223687413666E-06,1.76223687413666E-09,0.121707141399383,-1.01810133457183,1.13980847597122,,,,2.4173345324234E-05,3.8528972941767E-05
435832.54360795,0.0947999299969524,1.92428128918012E-06,1.92428128918012E-09,0.12271911650896,-1.01815867424011,1.14087779074907,,,,2.63961768063117E-05,4.07518044238447E-05
435832.554207932,0.105399911990389,2.13898879331019E-06,2.13898879331019E-09,0.123750194907188,-1.01861679553985,1.14236699044704,,,,2.93414100591247E-05,4.36970376766577E-05
435832.562207932,0.113399912021123,2.30103543400764E-06,2.30103543400764E-09,0.124781265854835,-1.01878869533538,1.14356996119022,,,,3.15642720714354E-05,4.59198996889684E-05
435832.57280793,0.123999910021666,2.51574407103988E-06,2.51574407103988E-09,0.125793248414993,-1.01897954940795,1.14477279782295,,,,3.45095208647446E-05,4.88651484822776E-05
435832.580407917,0.131599896994885,2.66968652192089E-06,2.66968652192089E-09,0.126805216073989,-1.0190178155899,1.14582303166389,,,,3.66212142924676E-05,5.09768419100006E-05
435832.59100791,0.142199890047777,2.88439636098014E-06,2.88439636098014E-09,0.127836301922798,-1.0192277431488,1.1470640450716,,,,3.95664795744875E-05,5.39221071920205E-05
435832.60020791,0.151399890019093,3.07074443416463E-06,3.07074443416463E-09,0.128905549645423,-1.01941871643066,1.14832426607608,,,,4.21226945701595E-05,5.64783221876925E-05
435832.609407898,0.16059987799963,3.25709699756569E-06,3.25709699756569E-09,0.129936620593071,-1.01957142353057,1.14950804412365,,,,4.46789711600232E-05,5.90345987775562E-05
435832.619807886,0.170999866037164,3.46775626225604E-06,3.46775626225604E-09,0.130967706441879,-1.0196669101715,1.15063461661338,,,,4.75686730076274E-05,6.19243006251604E-05
435832.630007886,0.181199865997769,3.67436424311664E-06,3.67436424311664E-09,0.132036954164505,-1.01997232437133,1.15200927853584,,,,5.04028016888428E-05,6.47584293063758E-05
435832.639407876,0.190599856025074,3.86476713377568E-06,3.86476713377568E-09,0.133048936724662,-1.01993417739868,1.15298311412334,,,,5.30146383233975E-05,6.73702659409305E-05
435832.649007862,0.200199842045549,4.05922105867001E-06,4.05922105867001E-09,0.13406091928482,-1.02010595798492,1.15416687726974,,,,5.56820447005488E-05,7.00376723180818E-05
435832.659407862,0.210599842015654,4.26988042684065E-06,4.26988042684065E-09,0.135111078619957,-1.02016329765319,1.15527437627315,,,,5.85717479676358E-05,7.29273755851688E-05
435832.668807856,0.21999983600108,4.46028363663289E-06,4.46028363663289E-09,0.136123061180114,-1.02025878429412,1.15638184547424,,,,6.1183588979875E-05,7.5539216597408E-05
435832.679407838,0.230599817994516,4.6749921672874E-06,4.6749921672874E-09,0.137135043740272,-1.02046871185302,1.1576037555933,,,,6.41288363139561E-05,7.84844639314891E-05
435832.688607839,0.23979981901357,4.86134306879507E-06,4.86134306879507E-09,0.138185203075408,-1.02037322521209,1.1585584282875,,,,6.66850901069283E-05,8.10407177244613E-05
435832.699207834,0.250399814045522,5.07605297863483E-06,5.07605297863483E-09,0.139311745762825,-1.02054512500762,1.15985687077045,,,,6.96303563598742E-05,8.39859839774072E-05
