time/s,reltime/s,C/mA.h,C/A.h,Ewe/V,Ece/V,Ewe-Ece/V,,soc_init (lookup in 0.2C),,Q/Q_max,soc_cell
512441.379929877,0,4.04987666341993E-08,4.04987666341993E-11,0.167031541466713,-0.999139010906219,1.16617055237293,,0.000173140556902034,,5.55538636957466E-07,0.000173696095538991
512441.380129877,0.00020000000949949,8.10021327601538E-08,8.10021327601538E-11,0.174119979143142,-0.999071538448333,1.17319151759147,,,,1.1111403670803E-06,0.000174251697269114
512441.380329878,0.000400001008529216,1.21512214342753E-07,1.21512214342753E-10,0.178950741887092,-1.00080895423889,1.17975969612598,,,,1.66683421594997E-06,0.000174807391117984
512441.380529878,0.000600001018028706,1.6202406419648E-07,1.6202406419648E-10,0.181719362735748,-1.00199258327484,1.18371194601059,,,,2.22255232093937E-06,0.000175363109222973
512441.380729878,0.000800000969320536,2.0253379146258E-07,2.0253379146258E-10,0.183762416243553,-1.00304269790649,1.18680511415004,,,,2.77824130950041E-06,0.000175918798211534
512441.380929878,0.00100000097882003,2.43044224050309E-07,2.43044224050309E-10,0.185347214341163,-1.00380635261535,1.18915356695652,,,,3.33393997325527E-06,0.000176474496875289
512441.381129878,0.00120000098831952,2.83556073904037E-07,2.83556073904037E-10,0.18637828528881,-1.00472271442413,1.19110099971294,,,,3.88965807824468E-06,0.000177030214980279
512441.381529878,0.0016000010073185,3.64578707350624E-07,3.64578707350624E-10,0.18790578842163,-1.00586819648742,1.19377398490905,,,,5.00107966187413E-06,0.000178141636563908
512441.381929879,0.00200000201584771,4.45601695113711E-07,4.45601695113711E-10,0.189204186201095,-1.00703275203704,1.19623693823814,,,,6.11250610581222E-06,0.000179253063007846
512441.382329879,0.00240000197663903,5.26625391509797E-07,5.26625391509797E-10,0.190330728888511,-1.00800645351409,1.19833718240261,,,,7.22394227036759E-06,0.000180364499172402
512441.382929879,0.0030000020051375,6.48169063859515E-07,6.48169063859515E-10,0.191705480217933,-1.00913286209106,1.20083834230899,,,,8.89120800904685E-06,0.000182031764911081
512441.383529878,0.00360000098589808,7.69705669747458E-07,7.69705669747458E-10,0.192832022905349,-1.01008749008178,1.20291951298713,,,,1.05583768140941E-05,0.000183698933716128
512441.384129877,0.00420000002486631,8.91242275635401E-07,8.91242275635401E-10,0.193901285529136,-1.01077473163604,1.20467601716518,,,,1.22255456191413E-05,0.000185366102521175
512441.384729876,0.00479999900562689,1.01277675893571E-06,1.01277675893571E-09,0.195008739829063,-1.01150023937225,1.20650897920131,,,,1.38926853077601E-05,0.000187033242209794
512441.385329875,0.00539999798638746,1.13431618942154E-06,1.13431618942154E-09,0.19603981077671,-1.01220667362213,1.20824648439884,,,,1.5559892859006E-05,0.00018870044976104
512441.386129873,0.00619999598711729,1.29636676443947E-06,1.29636676443947E-09,0.197395473718643,-1.01266491413116,1.2100603878498,,,,1.77828088400476E-05,0.000190923365742082
512441.386929872,0.00699999497737736,1.45841981305016E-06,1.45841981305016E-09,0.198541104793548,-1.01318037509918,1.21172147989273,,,,2.00057587524027E-05,0.000193146315654437
512441.387729871,0.00779999402584508,1.62047392129898E-06,1.62047392129898E-09,0.199648559093475,-1.01350486278533,1.21315342187881,,,,2.22287232002604E-05,0.000195369280102294
512441.388529869,0.00859999196836725,1.78252591027153E-06,1.78252591027153E-09,0.20079419016838,-1.01386761665344,1.21466180682182,,,,2.44516585771129E-05,0.000197592215479147
512441.389329868,0.00939999101683497,1.94457365075747E-06,1.94457365075747E-09,0.201939836144447,-1.01421129703521,1.21615113317966,,,,2.66745356756855E-05,0.000199815092577719
512441.390129867,0.010199990007095,2.10661962628364E-06,2.10661962628364E-09,0.203066378831863,-1.01451671123504,1.21758309006691,,,,2.88973885635616E-05,0.000202037945465596
512441.390929866,0.0109999889973551,2.26866949266857E-06,2.26866949266857E-09,0.204269289970397,-1.01472675800323,1.21899604797363,,,,3.11202948239859E-05,0.00020426085172602
512441.391729865,0.0117999879876152,2.43071688214937E-06,2.43071688214937E-09,0.205300360918045,-1.01507043838501,1.22037079930305,,,,3.33431671076731E-05,0.000206483724009707
512441.392529863,0.012599985988345,2.59276073839929E-06,2.59276073839929E-09,0.206369623541832,-1.01518499851226,1.2215546220541,,,,3.55659909245445E-05,0.000208706547826578
512441.393529862,0.0135999849881046,2.79531609018643E-06,2.79531609018643E-09,0.207629814743995,-1.01547133922576,1.22310115396976,,,,3.83445279860964E-05,0.00021148508488813
512441.39432986,0.0143999829888344,2.95737019843525E-06,2.95737019843525E-09,0.208737269043922,-1.01556682586669,1.22430409491062,,,,4.0567492433954E-05,0.000213708049335988
512441.395329859,0.0153999819885939,3.15992908345328E-06,3.15992908345328E-09,0.209940180182457,-1.0158531665802,1.22579334676265,,,,4.33460779623221E-05,0.000216486634864356
512441.396129857,0.0161999799893238,3.32197506229082E-06,3.32197506229082E-09,0.211009442806243,-1.01596772670745,1.2269771695137,,,,4.55689308956217E-05,0.000218709487797656
512441.396929856,0.0169999789795838,3.48402917385101E-06,3.48402917385101E-09,0.21213598549366,-1.01606321334838,1.22819919884204,,,,4.77918953889027E-05,0.000220932452290937
512441.398129854,0.0181999769993126,3.72710803813404E-06,3.72710803813404E-09,0.213453471660614,-1.01634955406189,1.2298030257225,,,,5.11263105368181E-05,0.000224266867438852
512441.398929854,0.0189999769791029,3.88915861315197E-06,3.88915861315197E-09,0.214599102735519,-1.01642596721649,1.23102506995201,,,,5.33492265178597E-05,0.000226489783419894
512441.399929855,0.0199999780161306,4.09172562758127E-06,4.09172562758127E-09,0.215744733810424,-1.01659774780273,1.23234248161315,,,,5.61279235607856E-05,0.00022926848046282
512441.400929855,0.0209999780054204,4.29429264863332E-06,4.29429264863332E-09,0.21698585152626,-1.01676952838897,1.23375537991523,,,,5.89066206945586E-05,0.000232047177596593
512441.401929856,0.0219999789842404,4.49685542119873E-06,4.49685542119873E-09,0.218150570988655,-1.0168650150299,1.23501558601856,,,,6.16852595500512E-05,0.000234825816452085
512441.402729856,0.0227999790222384,4.65890423125691E-06,4.65890423125691E-09,0.219162553548812,-1.01703691482543,1.23619946837425,,,,6.39081513203966E-05,0.000237048708222431
512441.403729855,0.023799978021998,4.86146347059144E-06,4.86146347059144E-09,0.220499128103256,-1.01701772212982,1.23751685023307,,,,6.66867417090733E-05,0.000239827298611107
512441.404729855,0.0247999780112878,5.06402447819709E-06,5.06402447819709E-09,0.221606582403183,-1.01713228225708,1.23873886466026,,,,6.94653563538696E-05,0.000242605913255904
512441.405529855,0.0255999779910781,5.22607964608404E-06,5.22607964608404E-09,0.222733125090599,-1.01707506179809,1.23980818688869,,,,7.16883353372296E-05,0.000244828892239264
512441.406529855,0.0265999779803678,5.42864736914634E-06,5.42864736914634E-09,0.223745092749595,-1.01720869541168,1.24095378816127,,,,7.44670421007728E-05,0.000247607599002807
512441.407329855,0.0273999780183658,5.59069935480753E-06,5.59069935480753E-09,0.224795266985893,-1.01724684238433,1.24204210937023,,,,7.66899774322021E-05,0.000249830534334236
512441.408129855,0.0281999779981561,5.75276053282949E-06,5.75276053282949E-09,0.225807234644889,-1.01724684238433,1.24305407702922,,,,7.89130388591151E-05,0.000252053595761149
512441.409129855,0.0291999779874459,5.95532188812891E-06,5.95532188812891E-09,0.227029249072074,-1.01749503612518,1.24452428519725,,,,8.16916582733732E-05,0.000254832215175407
512441.410129854,0.0301999769872054,6.15787936250368E-06,6.15787936250368E-09,0.228155791759491,-1.01749503612518,1.24565082788467,,,,8.44702244513536E-05,0.000257610781353388
512441.410929855,0.0309999780147336,6.31993523902363E-06,6.31993523902363E-09,0.229225054383277,-1.01747596263885,1.24670101702213,,,,8.6693213155331E-05,0.000259833770057365
512441.411929855,0.0319999780040234,6.52249341540866E-06,6.52249341540866E-09,0.230332508683204,-1.01739954948425,1.24773205816745,,,,8.94717889630818E-05,0.000262612345865116
512441.412929856,0.0329999789828435,6.72504841619067E-06,6.72504841619067E-09,0.23147813975811,-1.01751410961151,1.24899224936962,,,,9.22503212097486E-05,0.000265390878111783
512441.413929856,0.0339999789721333,6.92761331465509E-06,6.92761331465509E-09,0.232661962509155,-1.01764774322509,1.25030970573425,,,,9.50289892270932E-05,0.000268169546129127
512441.414929855,0.0349999779718928,7.13017644484837E-06,7.13017644484837E-09,0.23376940190792,-1.01760959625244,1.25137899816036,,,,9.78076329883178E-05,0.000270948189890352
512441.415729854,0.0357999770203605,7.29223020209206E-06,7.29223020209206E-09,0.234800487756729,-1.01781964302063,1.25262013077735,,,,0.00010003059262129,0.000273171149523324
512441.416929852,0.0369999749818817,7.53530412250094E-06,7.53530412250094E-09,0.236175239086151,-1.01781964302063,1.25399488210678,,,,0.000103364939952002,0.000276505496854036
512441.41812985,0.0381999730016105,7.77837910254796E-06,7.77837910254796E-09,0.237454533576965,-1.01789593696594,1.2553504705429,,,,0.000106699301818216,0.00027983985872025
512441.419129848,0.0391999710118398,7.98094612028863E-06,7.98094612028863E-09,0.238561987876892,-1.0180104970932,1.25657248497009,,,,0.000109477998906566,0.0002826185558086
512441.420329846,0.040399968973361,8.22401085164811E-06,8.22401085164811E-09,0.239841282367706,-1.0180869102478,1.2579281926155,,,,0.000112812220187217,0.000285952777089251
512441.421329844,0.0413999669835903,8.42657150493727E-06,8.42657150493727E-09,0.240948721766471,-1.01791512966156,1.25886385142803,,,,0.000115590829971705,0.000288731386873739
512441.422329843,0.0423999659833498,8.62913710541195E-06,8.62913710541195E-09,0.242113456130027,-1.0181633234024,1.26027677953243,,,,0.00011836950761882,0.000291510064520854
512441.423329841,0.0433999639935792,8.83169563611348E-06,8.83169563611348E-09,0.243220910429954,-1.01822054386138,1.26144145429134,,,,0.000121148088286879,0.000294288645188913
512441.424329839,0.0443999620038085,9.03425982594489E-06,9.03425982594489E-09,0.244366541504859,-1.01822054386138,1.26258708536624,,,,0.000123926746583606,0.00029706730348564
512441.425329837,0.0453999600140378,9.23682542973094E-06,9.23682542973094E-09,0.245435804128646,-1.01814413070678,1.26357993483543,,,,0.000126705424276145,0.000299845981178179
512441.426329836,0.0463999590137973,9.43938289748297E-06,9.43938289748297E-09,0.246543243527412,-1.01833510398864,1.26487834751606,,,,0.000129483990363278,0.000302624547265312
512441.427329834,0.0473999570240267,9.64194637868139E-06,9.64194637868139E-09,0.247727066278457,-1.01823961734771,1.26596668362617,,,,0.000132262638939388,0.000305403195841422
512441.428329832,0.0483999549760483,9.84452011187871E-06,9.84452011187871E-09,0.248929992318153,-1.01827776432037,1.26720775663852,,,,0.000135041428146484,0.000308181985048518
512441.429329831,0.0493999539758079,1.00470864209863E-05,1.00470864209863E-08,0.250056535005569,-1.0181633234024,1.26821985840797,,,,0.000137820115514215,0.000310960672416249
512441.430329831,0.0503999540233053,1.02496446006827E-05,1.02496446006827E-08,0.251144886016845,-1.01820147037506,1.2693463563919,,,,0.00014059869136739,0.000313739248269424
512441.431329831,0.0513999540125951,1.04522048996554E-05,1.04522048996554E-08,0.252195060253143,-1.01823961734771,1.27043467760086,,,,0.000143377296291569,0.000316517853193603
512441.432329832,0.0523999549914151,1.06547659072611E-05,1.06547659072611E-08,0.25330251455307,-1.01822054386138,1.27152305841445,,,,0.000146155910936366,0.0003192964678384
