time/s,reltime/s,C/mA.h,C/A.h,Ewe/V,Ece/V,Ewe-Ece/V
512731.486313727,0.0,0.0,0.0,0.760567069053649,-1.03097343444824,1.79154050350189
512731.486513727,0.00020000000949949026,4.0477305650711e-08,4.0477305650711e-11,0.738192200660705,-1.02720463275909,1.7653968334198
512731.486713727,0.0004000000189989805,8.09606247478061e-08,8.09606247478061e-11,0.727614760398864,-1.02432525157928,1.75194001197814
512731.486913726,0.0005999990389682353,1.21442529890272e-07,1.2144252989027198e-10,0.722860395908355,-1.02232062816619,1.74518102407455
512731.487113726,0.0007999989902600646,1.6192301776674e-07,1.6192301776674e-10,0.72022545337677,-1.02123236656189,1.74145781993866
512731.487313726,0.0009999989997595549,2.02408807145224e-07,2.0240880714522398e-10,0.71841150522232,-1.02056419849395,1.73897570371627
512731.487513725,0.0011999980197288096,2.42892834875318e-07,2.42892834875318e-10,0.716884016990661,-1.01995325088501,1.73683726787567
512731.487913725,0.0015999980387277901,3.23865476581785e-07,3.23865476581785e-10,0.714936435222625,-1.01876962184906,1.73370605707168
512731.488313724,0.001999997009988874,4.04838826921251e-07,4.0483882692125095e-10,0.713428020477294,-1.01806318759918,1.73149120807647
512731.488713723,0.002399996039457619,4.85815717114342e-07,4.858157171143419e-10,0.712129592895507,-1.01747131347656,1.72960090637207
512731.489313722,0.0029999950202181935,6.0727592309316e-07,6.072759230931599e-10,0.710678458213806,-1.0167076587677,1.7273861169815
512731.489913721,0.003599994000978768,7.2873400317298e-07,7.2873400317298e-10,0.709494650363922,-1.01603949069976,1.72553414106369
512731.49051372,0.004199993039947003,8.50198444392946e-07,8.50198444392946e-10,0.708272635936737,-1.0155621767044,1.72383481264114
512731.491113719,0.0047999920207075775,9.71657584110895e-07,9.71657584110895e-10,0.707107901573181,-1.01506578922271,1.72217369079589
512731.491913718,0.005599991010967642,1.13360251651869e-06,1.13360251651869e-09,0.705924093723297,-1.01466488838195,1.72058898210525
512731.492713718,0.006399990990757942,1.29554639922248e-06,1.29554639922248e-09,0.704702079296112,-1.01428306102752,1.71898514032363
512731.493513718,0.007199991028755903,1.45749310652414e-06,1.45749310652414e-09,0.703422784805297,-1.0139775276184,1.7174003124237
512731.494513719,0.00819999200757593,1.65993055038982e-06,1.65993055038982e-09,0.702143490314483,-1.01355755329132,1.7157010436058
512731.495313719,0.00899999198736623,1.821881496244e-06,1.821881496244e-09,0.701074242591857,-1.0133284330368,1.71440267562866
512731.49611372,0.009799993014894426,1.98382643196317e-06,1.98382643196317e-09,0.700004994869232,-1.01308023929595,1.71308523416519
512731.497113719,0.01079999201465398,2.1862667037381e-06,2.1862667037381e-09,0.698821127414703,-1.01279389858245,1.71161502599716
512731.497913719,0.01159999199444428,2.34821765290366e-06,2.34821765290366e-09,0.697790086269378,-1.01264119148254,1.71043127775192
512731.498913719,0.012599992041941732,2.55064732167455e-06,2.5506473216745504e-09,0.696758985519409,-1.01245021820068,1.70920920372009
512731.499713719,0.013399992021732032,2.71260074774424e-06,2.7126007477442397e-09,0.695747017860412,-1.01214480400085,1.70789182186126
512731.500913719,0.014599992020521313,2.95551973912451e-06,2.95551973912451e-09,0.694544076919555,-1.01208746433258,1.70663154125213
512731.501913719,0.015599992009811103,3.15795930226643e-06,3.15795930226643e-09,0.6934175491333,-1.01183927059173,1.70525681972503
512731.502913718,0.016599991009570658,3.36039709713723e-06,3.36039709713723e-09,0.692291021347045,-1.0118201971054,1.70411121845245
512731.503913718,0.01759999099886045,3.56283453769154e-06,3.56283453769154e-09,0.691164493560791,-1.01161015033721,1.70277464389801
512731.505113719,0.018799991987179965,3.80576095647282e-06,3.80576095647282e-09,0.689885199069976,-1.01134288311004,1.70122808218002
512731.506113719,0.019799992034677416,4.00819592343436e-06,4.00819592343436e-09,0.688796818256378,-1.0113810300827,1.70017784833908
512731.50711372,0.020799993013497442,4.21063054601351e-06,4.21063054601351e-09,0.687670290470123,-1.01120924949646,1.69887953996658
512731.50811372,0.021799993002787232,4.41306622160805e-06,4.4130662216080495e-09,0.686601042747497,-1.01124739646911,1.69784843921661
512731.509113718,0.02279999101301655,4.61550260914696e-06,4.61550260914696e-09,0.685589075088501,-1.0110946893692,1.6966837644577
512731.510313716,0.02399998903274536,4.85842902792824e-06,4.85842902792824e-09,0.684386134147644,-1.01103746891021,1.69542360305786
512731.511313715,0.024999988032504916,5.06085940202077e-06,5.0608594020207704e-09,0.683297753334045,-1.01105654239654,1.69435429573059
512731.512513713,0.026199985994026065,5.30378157893816e-06,5.30378157893816e-09,0.682209432125091,-1.01092290878295,1.69313234090805
512731.513513711,0.027199984004255384,5.50621125102043e-06,5.50621125102043e-09,0.681063771247863,-1.01086556911468,1.69192934036254
512731.514713709,0.028399982023984194,5.74912848737504e-06,5.7491284873750404e-09,0.679994523525238,-1.01078927516937,1.69078379869461
512731.515913708,0.02959998103324324,5.99204889933268e-06,5.99204889933268e-09,0.678810715675354,-1.01075100898742,1.68956172466278
512731.517113706,0.030799978994764388,6.23496860265731e-06,6.23496860265731e-09,0.677684187889099,-1.01067471504211,1.68835890293121
512731.518313704,0.0319999770144932,6.47789431611697e-06,6.4778943161169694e-09,0.676538527011871,-1.0105220079422,1.68706053495407
512731.519513702,0.03319997503422201,6.72082108590338e-06,6.72082108590338e-09,0.675488352775573,-1.01057922840118,1.68606758117675
512731.5207137,0.034399972995743155,6.96374150117238e-06,6.96374150117238e-09,0.674304544925689,-1.01029288768768,1.68459743261337
512731.522113697,0.03579997003544122,7.247147348192e-06,7.247147348192e-09,0.673139810562133,-1.01033103466033,1.68347084522247
512731.523313695,0.03699996799696237,7.49006599187851e-06,7.49006599187851e-09,0.672089636325836,-1.01029288768768,1.68238252401351
512731.524513696,0.038199968985281885,7.73298993706703e-06,7.732989937067031e-09,0.671058595180511,-1.01014018058776,1.68119877576828
512731.525713697,0.03939997003180906,7.97591493858231e-06,7.97591493858231e-09,0.670027494430542,-1.01014018058776,1.68016767501831
512731.527113698,0.04079997102962807,8.25932184524006e-06,8.25932184524006e-09,0.668767273426055,-1.01019740104675,1.6789646744728
512731.528513697,0.04219996999017894,8.54272946715355e-06,8.54272946715355e-09,0.667564392089843,-1.01006376743316,1.67762815952301
512731.529713697,0.04339996998896822,8.78564670019679e-06,8.78564670019679e-09,0.666418731212616,-1.01010191440582,1.67652064561843
512731.531113697,0.044799969997256994,9.06905219621128e-06,9.06905219621128e-09,0.665273129940033,-1.01000642776489,1.67527955770492
512731.532313697,0.045999969996046275,9.31196871399879e-06,9.31196871399879e-09,0.664184749126434,-1.00996828079223,1.67415302991867
512731.533513697,0.047199969994835556,9.55489123860995e-06,9.554891238609949e-09,0.663134574890136,-1.01014018058776,1.6732747554779
512731.535113696,0.04879996902309358,9.87877368595865e-06,9.87877368595865e-09,0.661855280399322,-1.00996828079223,1.67182356119155
512731.536713697,0.05039997003041208,1.02026762829886e-05,1.02026762829886e-08,0.660709679126739,-1.00991106033325,1.67062073945999
512731.538113697,0.05179997003870085,1.04860945045948e-05,1.04860945045948e-08,0.659583151340484,-1.00991106033325,1.66949421167373
512731.539713697,0.05339996999828145,1.08099882668919e-05,1.08099882668919e-08,0.658437490463256,-1.00985372066497,1.66829121112823
512731.541113695,0.05479996802750975,1.10933994187249e-05,1.10933994187249e-08,0.657349109649658,-1.0095864534378,1.66693556308746
512731.542513692,0.05619996500900015,1.13768158687485e-05,1.13768158687485e-08,0.656337141990661,-1.00956737995147,1.66590452194213
512731.54391369,0.05759996303822845,1.1660226666265e-05,1.1660226666265e-08,0.655286967754364,-1.00960552692413,1.66489249467849
512731.545513687,0.059199960029218346,1.19841154813766e-05,1.19841154813766e-08,0.654160439968109,-1.0095864534378,1.66374689340591
512731.546913685,0.060599958000238985,1.22675220370292e-05,1.22675220370292e-08,0.653110265731811,-1.00941467285156,1.66252493858337
512731.548313682,0.06199995503993705,1.25509292946921e-05,1.25509292946921e-08,0.652079224586486,-1.00947189331054,1.66155111789703
512731.54971368,0.06339995301095769,1.28343270156118e-05,1.2834327015611801e-08,0.651048123836517,-1.00947189331054,1.66052001714706
512731.551313677,0.06499995000194758,1.3158224672079e-05,1.3158224672079e-08,0.65003615617752,-1.00960552692413,1.65964168310165
512731.552713675,0.06639994803117588,1.34416284064451e-05,1.3441628406445101e-08,0.648909628391265,-1.00937640666961,1.65828603506088
512731.554313672,0.06799994502216578,1.37655182811949e-05,1.3765518281194898e-08,0.647897660732269,-1.00954830646514,1.65744596719741
512731.555913673,0.06959994602948427,1.40894067386786e-05,1.40894067386786e-08,0.646866559982299,-1.00941467285156,1.65628123283386
512731.557513674,0.07119994703680277,1.44133004976643e-05,1.44133004976643e-08,0.645835518836975,-1.00939559936523,1.6552311182022
512731.559313674,0.07299994700588286,1.47776853541533e-05,1.47776853541533e-08,0.644804418087005,-1.00939559936523,1.65420001745224
512731.560913673,0.07459994603414088,1.51015692121452e-05,1.51015692121452e-08,0.643754243850708,-1.00916647911071,1.65292072296142
512731.562513673,0.07619994599372149,1.54254583848847e-05,1.54254583848847e-08,0.642742276191711,-1.00910913944244,1.65185141563415
512731.564513673,0.07819994603050873,1.5830336107148e-05,1.5830336107147998e-08,0.641692101955413,-1.00905191898345,1.65074402093887
512731.566113672,0.07979994500055909,1.61542277534802e-05,1.61542277534802e-08,0.640622854232788,-1.00903284549713,1.64965569972991
512731.568113673,0.08179994602687657,1.6559090266625e-05,1.6559090266625e-08,0.639515399932861,-1.00926196575164,1.6487773656845
512731.569913675,0.08359994803322479,1.69234680566522e-05,1.69234680566522e-08,0.638427078723907,-1.00907099246978,1.64749807119369
512731.571713673,0.08539994602324441,1.72878415981928e-05,1.72878415981928e-08,0.637338697910308,-1.00916647911071,1.64650517702102
512731.573513669,0.08719994203420356,1.76522303289837e-05,1.7652230328983698e-08,0.636307597160339,-1.00918555259704,1.64549314975738
512731.575913665,0.08959993801545352,1.81380895309978e-05,1.81380895309978e-08,0.634990155696868,-1.00910913944244,1.64409929513931
512731.578313661,0.09199993399670348,1.86239328152603e-05,1.86239328152603e-08,0.633882701396942,-1.00895643234252,1.64283913373947
512731.580513658,0.09419993101619184,1.90692920751041e-05,1.90692920751041e-08,0.632851600646972,-1.00891828536987,1.64176988601684
512731.582713654,0.09639992698794231,1.95146520402696e-05,1.95146520402696e-08,0.631801486015319,-1.0089373588562,1.64073884487152
512731.58491365,0.09859992301790044,1.99600166016154e-05,1.9960016601615398e-08,0.630636751651763,-1.00884187221527,1.63947862386703
512731.587313649,0.10099992202594876,2.04458556539482e-05,2.04458556539482e-08,0.629510164260864,-1.00886094570159,1.63837110996246
512731.589913651,0.10359992401208729,2.0972183316946e-05,2.0972183316946e-08,0.628459990024566,-1.00880372524261,1.63726371526718
512731.59211365,0.10579992301063612,2.14175510671403e-05,2.14175510671403e-08,0.627371668815612,-1.00878465175628,1.63615632057189
512731.59431365,0.10799992299871519,2.18629025552008e-05,2.18629025552008e-08,0.626359701156616,-1.00897550582885,1.63533520698547
512731.596913649,0.11059992201626301,2.23892436524232e-05,2.23892436524232e-08,0.62529045343399,-1.00888001918792,1.63417047262191
512731.59971365,0.11339992302237079,2.29560832778612e-05,2.2956083277861198e-08,0.624202072620391,-1.00868916511535,1.63289123773574
512731.60271365,0.11639992299024016,2.35633920861615e-05,2.3563392086161498e-08,0.623151898384094,-1.00855553150177,1.63170742988586
512731.605513645,0.11919991800095886,2.41302288870016e-05,2.41302288870016e-08,0.622120857238769,-1.00851738452911,1.63063824176788
